2024-04-10 14:03:55 startup archives install
2024-04-10 14:03:55 install base-passwd:amd64 <none> 3.5.52build1
2024-04-10 14:03:55 status half-installed base-passwd:amd64 3.5.52build1
2024-04-10 14:03:55 status unpacked base-passwd:amd64 3.5.52build1
2024-04-10 14:03:55 configure base-passwd:amd64 3.5.52build1 3.5.52build1
2024-04-10 14:03:55 status half-configured base-passwd:amd64 3.5.52build1
2024-04-10 14:03:55 status installed base-passwd:amd64 3.5.52build1
2024-04-10 14:03:55 startup archives install
2024-04-10 14:03:55 install base-files:amd64 <none> 12ubuntu4
2024-04-10 14:03:55 status half-installed base-files:amd64 12ubuntu4
2024-04-10 14:03:55 status unpacked base-files:amd64 12ubuntu4
2024-04-10 14:03:55 configure base-files:amd64 12ubuntu4 12ubuntu4
2024-04-10 14:03:55 status half-configured base-files:amd64 12ubuntu4
2024-04-10 14:03:55 status installed base-files:amd64 12ubuntu4
2024-04-10 14:03:55 startup archives install
2024-04-10 14:03:55 upgrade dpkg 1.21.1ubuntu2 1.21.1ubuntu2
2024-04-10 14:03:55 status half-configured dpkg 1.21.1ubuntu2
2024-04-10 14:03:55 status unpacked dpkg 1.21.1ubuntu2
2024-04-10 14:03:55 status half-installed dpkg 1.21.1ubuntu2
2024-04-10 14:03:55 status unpacked dpkg:amd64 1.21.1ubuntu2
2024-04-10 14:03:55 configure dpkg:amd64 1.21.1ubuntu2 1.21.1ubuntu2
2024-04-10 14:03:55 status half-configured dpkg:amd64 1.21.1ubuntu2
2024-04-10 14:03:55 status installed dpkg:amd64 1.21.1ubuntu2
2024-04-10 14:03:55 startup archives install
2024-04-10 14:03:55 install libc6:amd64 <none> 2.35-0ubuntu3
2024-04-10 14:03:55 status half-installed libc6:amd64 2.35-0ubuntu3
2024-04-10 14:03:55 status unpacked libc6:amd64 2.35-0ubuntu3
2024-04-10 14:03:55 configure libc6:amd64 2.35-0ubuntu3 2.35-0ubuntu3
2024-04-10 14:03:55 status half-configured libc6:amd64 2.35-0ubuntu3
2024-04-10 14:03:55 status installed libc6:amd64 2.35-0ubuntu3
2024-04-10 14:03:55 startup archives install
2024-04-10 14:03:55 install perl-base:amd64 <none> 5.34.0-3ubuntu1
2024-04-10 14:03:55 status half-installed perl-base:amd64 5.34.0-3ubuntu1
2024-04-10 14:03:55 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2024-04-10 14:03:56 configure perl-base:amd64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2024-04-10 14:03:56 status half-configured perl-base:amd64 5.34.0-3ubuntu1
2024-04-10 14:03:56 status installed perl-base:amd64 5.34.0-3ubuntu1
2024-04-10 14:03:56 startup archives install
2024-04-10 14:03:56 install mawk:amd64 <none> 1.3.4.20200120-3
2024-04-10 14:03:56 status half-installed mawk:amd64 1.3.4.20200120-3
2024-04-10 14:03:56 status unpacked mawk:amd64 1.3.4.20200120-3
2024-04-10 14:03:56 configure mawk:amd64 1.3.4.20200120-3 1.3.4.20200120-3
2024-04-10 14:03:56 status half-configured mawk:amd64 1.3.4.20200120-3
2024-04-10 14:03:56 status installed mawk:amd64 1.3.4.20200120-3
2024-04-10 14:03:56 startup archives unpack
2024-04-10 14:03:56 upgrade base-files:amd64 12ubuntu4 12ubuntu4
2024-04-10 14:03:56 status half-configured base-files:amd64 12ubuntu4
2024-04-10 14:03:56 status unpacked base-files:amd64 12ubuntu4
